feature,dtype
hotel,category
is_canceled,int8
lead_time,int16
arrival_date_year,int16
arrival_date_month,category
arrival_date_week_number,int8
arrival_date_day_of_month,int8
stays_in_weekend_nights,int8
stays_in_week_nights,int8
adults,int16
children,int8
babies,int8
meal,category
country,category
market_segment,category
distribution_channel,category
is_repeated_guest,int8
previous_cancellations,int8
previous_bookings_not_canceled,int8
reserved_room_type,category
assigned_room_type,category
booking_changes,int8
deposit_type,category
agent,string
company,string
days_in_waiting_list,int16
customer_type,category
adr,float32
required_car_parking_spaces,int8
total_of_special_requests,int8
reservation_status,category
reservation_status_date,datetime64[ns]
name,string
email,string
phone-number,string
credit_card,string
